column_name,table_id,source_file,source_column_role,missing_count,missing_pct,dtype,notes
census_g03_count_hom_census_nt_65_74_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_count_hom_census_nt_75_84_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_count_hom_census_nt_85ov,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_counted_home_census_night_tot,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_0_14_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_15_24_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_25_34_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_35_44_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_45_54_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_55_64_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_65_74_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_75_84_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_85ov,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_vissame_sa2_total,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_visdiff_sa2_nsw_0_14_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_visdiff_sa2_nsw_15_24_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_visdiff_sa2_nsw_25_34_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
census_g03_visdiff_sa2_nsw_35_44_yr,g03,2021Census_G03_AUST_SA2.csv,raw_census_gcp_variable,0,0.0,int64,Raw ABS Census 2021 General Community Profile SA2 variable; derive modelling features later.
