source_family,page_url,status_code,candidate_url,candidate_text,candidate_kind,notes
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/correspondences/CG_DZN_2016_DZN_2021.csv,Download csv [327.48 KB],download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/correspondences/CG_SUA_2016_SUA_2021_GRID16.csv,Download csv [7.33 KB],download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/correspondences/CG_UCL_2016_UCL_2021_GRID16.csv,Download csv [130.05 KB],download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/correspondences/CG_SOS_2016_SOS_2021_GRID16.csv,Download csv [6.48 KB],download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/correspondences/CG_SOSR_2016_SOSR_2021_GRID16.csv,Download csv [16.33 KB],download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/correspondences/CG_RA_2016_RA_2021_GRID16.csv,Download csv [6.58 KB],download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/ausstats/abs@.nsf/mf/1270.0.55.001,Main Structure and Greater Capital City Statistical Areas,link,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/allocation-files,Previous page Allocation files,download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads,Up,download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs/edition-3-july-2021-june-2026/access-and-downloads/abs-maps,Next page ABS Maps,download,keyword/download candidate
lga_bridge_to_sa2,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences,200,https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/correspondences#,Back to top of the page,download,keyword/download candidate
lhd_state_health_districts,https://www.health.nsw.gov.au/lhd/Pages/default.aspx,200,https://www.health.nsw.gov.au/lhd/Pages/default.aspx,source_page,source_page,text/html; charset=utf-8
lhd_state_health_districts,https://www.health.nsw.gov.au/lhd/Pages/default.aspx,200,https://www.health.nsw.gov.au/lhd/Pages/default.aspx#maincontent,Skip to content,link,keyword/download candidate
lhd_state_health_districts,https://www.health.nsw.gov.au/lhd/Pages/default.aspx,200,https://www.health.nsw.gov.au/lhd/Pages/default.aspx#,Increase Font Size,link,keyword/download candidate
lhd_state_health_districts,https://www.health.nsw.gov.au/lhd/Pages/default.aspx,200,https://www.health.nsw.gov.au/lhd/Pages/default.aspx#,Decrease Font Size,link,keyword/download candidate
lhd_state_health_districts,https://www.health.nsw.gov.au/lhd/Pages/default.aspx,200,https://www.health.nsw.gov.au/disability/Pages/default.aspx,Disability,link,keyword/download candidate
lhd_state_health_districts,https://www.health.nsw.gov.au/lhd/Pages/default.aspx,200,https://www.health.nsw.gov.au/lhd/pages/default.aspx,Local health districts,link,keyword/download candidate
lhd_state_health_districts,https://www.health.nsw.gov.au/lhd/Pages/default.aspx,200,https://www.health.nsw.gov.au/lhd,Local health districts and specialty networks Currently selected,link,keyword/download candidate
